,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.03018903656311255,0.032266983202058945,0.9356014590538541,0.3494784230668674,-0.033053088402681896,0.09343116152890699
C(county)[T.San Francisco],0.003855743999751081,0.011410217781544264,0.3379202810648933,0.7354232635867883,-0.01850787190783419,0.026219359907336353
C(county)[T.San Mateo],0.04422749514533431,0.020246963692420728,2.184401365913966,0.028932767948122277,0.004544175511899576,0.08391081477876905
C(year)[T.2020],-0.0197864509778036,0.017876289614794937,-1.1068544650019407,0.2683568557059356,-0.054823334800009074,0.015250432844401876
C(year)[T.2021],-0.040304290638371876,0.020067344683579562,-2.0084516050273225,0.04459532380961814,-0.07963556348353915,-0.0009730177932046058
C(year)[T.2022],-0.03823714153192996,0.022077736611292184,-1.731932136212399,0.0832856461469248,-0.08150871015022401,0.0050344270863640975
C(year)[T.2023],-0.05982860595544013,0.029371096993699334,-2.036989151895638,0.041651129118976726,-0.11739489824952348,-0.0022623136613567837
C(year)[T.2024],-0.029194999846557393,0.02060936867712636,-1.4165887516467175,0.1566031991070063,-0.06958862019783296,0.011198620504718176
is_progressive,-0.020536402312046096,0.012622878074981726,-1.6269191693096368,0.10375426612424694,-0.045276788720250566,0.004203984096158374
article_length,-1.0657835583534901e-05,4.561818861524752e-06,-2.336312753104932,0.01947494733165747,-1.959883625611893e-05,-1.716834910950875e-06
