transition,outcome,n_months,n_pre_months,n_post_months,level_change_beta,level_change_p,slope_change_beta,slope_change_p,pre_trend_beta,pre_trend_p,effect_at_horizon,effect_at_horizon_p,horizon_months,control_county,n_months_dropped_missing_control
Alameda: O'Malley to Price,A: Aspect sentiment,63,48,15,-0.11064596652369911,0.026930986260399553,-0.0009863604481148923,0.8492232561492882,0.002905375325724265,0.015117799630631189,-0.12248229190107782,0.027995018907277482,12,San Mateo (Wagstaffe),0
Alameda: O'Malley to Price,B: Stance,63,48,15,-0.24208162742022726,0.00010650814796945074,-0.0025110543800218564,0.7094080039429378,0.0005330252238146665,0.6550873663538671,-0.2722142799804895,7.18934652942543e-06,12,San Mateo (Wagstaffe),0
Alameda: O'Malley to Price,C: Keywords,63,48,15,0.006206913726569808,0.03081652953021565,-0.0017227103666168232,2.3546995580353767e-07,-0.00031183900579640823,0.0024251988534511578,-0.014465610672832068,0.0008507562411046707,12,San Mateo (Wagstaffe),0
Alameda: O'Malley to Price,Composite,63,48,15,-0.08675999248099184,0.0027736168941831225,0.0012222127320227023,0.7060499059905798,0.0004186907636372599,0.5089817558423622,-0.07209343969671941,0.018408049568711733,12,San Mateo (Wagstaffe),0
Alameda: O'Malley to Price,D: Document sentiment,63,48,15,0.031233562013113874,0.21004039730849802,0.003292635918497844,0.20767677870758092,0.00020195732155135087,0.7691605246441529,0.070745193035088,0.057783720687428236,12,San Mateo (Wagstaffe),0
SF: Boudin to Jenkins,A: Aspect sentiment,64,42,22,0.040006829486541315,0.19706072236880828,-0.00029901149629336563,0.9155521658375588,-0.0025406177784805103,0.07666344394488074,0.036418691531020925,0.442507088310516,12,San Mateo (Wagstaffe),0
SF: Boudin to Jenkins,B: Stance,64,42,22,0.10969195790723604,0.09589766571164574,0.012219838361881374,0.003047528264289901,-0.010009942993656238,6.269869247919802e-09,0.2563300182498125,3.219048007431413e-05,12,San Mateo (Wagstaffe),0
SF: Boudin to Jenkins,C: Keywords,64,42,22,0.004853048677188366,0.4207226569732766,0.0025545795399002733,3.827274551398181e-05,-0.00149121574985878,0.0002036943783213742,0.035508003155991646,0.0007213472289191358,12,San Mateo (Wagstaffe),0
SF: Boudin to Jenkins,Composite,64,42,22,0.02846128332609634,0.2620124594377793,0.00339165953462429,0.057328984919284676,-0.0035201868140794087,1.1305420344523438e-05,0.06916119774158783,0.007396878213793586,12,San Mateo (Wagstaffe),0
SF: Boudin to Jenkins,D: Document sentiment,64,42,22,0.02099509736724581,0.4748607185705802,0.0039859345552592795,0.029824350810831842,-0.0017330802586061724,0.13877411060947692,0.06882631203035716,0.09024958160046487,12,San Mateo (Wagstaffe),0
