transition,outcome,n_months,n_pre_months,n_post_months,level_change_beta,level_change_p,slope_change_beta,slope_change_p,pre_trend_beta,pre_trend_p,effect_at_horizon,effect_at_horizon_p,horizon_months,level_change_p_bh,slope_change_p_bh,effect_at_horizon_p_bh
Alameda: O'Malley to Price,A: Aspect sentiment,63,48,15,-0.08663186384190896,0.06867552777838654,7.830663590227376e-05,0.9880338193660599,0.002019578326371676,0.01867097214224416,-0.08569218421108168,0.04323478013196818,12,0.12339907565979574,0.9928201692854134,0.08646956026393636
Alameda: O'Malley to Price,B: Stance,63,48,15,-0.2378127398867896,0.00043817574313050923,-0.0045216297161071815,0.5692410694151645,0.0022087603842278676,0.10520617771253005,-0.29207229648007577,2.973197354395991e-05,12,0.0016431590367394096,0.6830892832981974,0.0002229898015796993
Alameda: O'Malley to Price,C: Keywords,63,48,15,0.002808080528074547,0.2651601708405095,-0.0020120848577969857,1.270405274542891e-07,-2.7119980383895406e-05,0.6397948078591962,-0.021336937765489283,2.1029807427186383e-07,12,0.36158205114614933,3.1544711140779576e-06,3.1544711140779576e-06
Alameda: O'Malley to Price,Composite,63,48,15,-0.06742734338414187,0.03469560648148634,-3.400816585046387e-05,0.9928201692854133,0.0007432226054577083,0.2244083089032083,-0.06783544137434744,0.03001246292490866,12,0.07994924944148096,0.9928201692854134,0.0777361108452443
Alameda: O'Malley to Price,D: Document sentiment,63,48,15,-0.04629472453290437,0.037309649739357784,0.005626970220949031,0.019463081488792177,0.00023825738977909056,0.7006641180337996,0.021228918118484,0.47857829434127575,12,0.07994924944148096,0.058389244466376534,0.5982228679265947
SF: Boudin to Jenkins,A: Aspect sentiment,64,42,22,0.03472418978952359,0.10544080269029536,0.0005712154471936197,0.8091678553970565,-0.0026450982131516567,0.02381733064365618,0.04157877515584703,0.1958909052869554,12,0.17573467115049227,0.8669655593539891,0.27984415040993627
SF: Boudin to Jenkins,B: Stance,64,42,22,0.06669867848883668,0.15665336888516185,0.012481434082129336,0.0003222565741165921,-0.007147746663109168,1.862987111955026e-06,0.2164758874743887,2.233509470707088e-05,12,0.23498005332774277,0.0016112828705829604,0.0002229898015796993
SF: Boudin to Jenkins,C: Keywords,64,42,22,0.0022079517689818856,0.689015528621694,0.0018813915909020233,0.00021563263334718803,-0.000968829340301413,0.00291271911265399,0.024784650859806166,0.009667537172792492,12,0.76557280957966,0.0012937958000831281,0.032225123909308304
SF: Boudin to Jenkins,Composite,64,42,22,0.03134863134534481,0.06992614287388425,0.0031358420890627843,0.031094444338097722,-0.002771864988183697,2.1416121921142832e-05,0.06897873641409821,0.0004342331864656391,12,0.12339907565979574,0.0777361108452443,0.0016431590367394096
SF: Boudin to Jenkins,D: Document sentiment,64,42,22,0.022355540406420973,0.1436886234614617,-0.0010129734917255202,0.4490012746036256,-0.0012470567877560343,0.16860137124057853,0.01019985850571473,0.6808872213171104,12,0.22687677388651847,0.5856538364395116,0.76557280957966
