url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.sfchronicle.com/sf/article/S-F-election-Where-Assembly-candidates-stand-on-16827642.php,S . F . election : Where Assembly candidates stand on city hottest issues from housing to overdoses,20220203T143000Z,sfchronicle.com,English,United States,False,local
https://www.sfgate.com/bay-area-politics/article/San-Francisco-police-leave-Boudin-deal-16828817.php,Why did SF police pull out of a deal with Chesa Boudin ? ,20220203T214500Z,sfgate.com,English,United States,True,local
https://sfist.com/2022/02/04/state-watchdog-dismisses-sf-democrats-complaint-that-recall-chesa-boudin-ads-were-unlawful-and-misleading/,State Watchdog Dismisses SF Democrat Complaint That Recall Chesa Boudin Ads Were  Unlawful and Misleading  ,20220205T021500Z,sfist.com,English,United States,True,local
https://www.sfchronicle.com/sf/article/Landmark-San-Francisco-police-brutality-trial-16838837.php,Landmark San Francisco police brutality trial begins amid fight between cops and DA,20220207T203000Z,sfchronicle.com,English,United States,False,local
https://www.breitbart.com/law-and-order/2022/02/03/s-f-police-cut-radical-d-a-out-of-investigations-of-officer-involved-shootings/,S . F . Police Cut Radical D . A . Out of Investigations of Officer - involved Shootings,20220203T163000Z,breitbart.com,English,United States,False,national
https://www.zerohedge.com/political/disaster-plain-sight-why-san-francisco-doing-nothing-curb-brutal-fentanyl-crisis,  A Disaster In Plain Sight  - Why San Francisco Is Doing Nothing To Curb Brutal Fentanyl Crisis,20220207T033000Z,zerohedge.com,English,United States,False,unclassified
https://www.infowars.com/posts/a-disaster-in-plain-sight-why-san-francisco-is-doing-nothing-to-curb-brutal-fentanyl-crisis/,  A Disaster In Plain Sight  – Why San Francisco Is Doing Nothing To Curb Brutal Fentanyl Crisis,20220207T191500Z,infowars.com,English,United States,False,unclassified
https://www.sott.net/article/464108-A-disaster-in-plain-sight-Why-San-Francisco-is-doing-nothing-to-curb-brutal-fentanyl-crisis,  A disaster in plain sight : Why San Francisco is doing nothing to curb brutal fentanyl crisis -- Society Child -- Sott . net,20220207T140000Z,sott.net,English,United States,False,unclassified
https://hotair.com/jazz-shaw/2022/02/05/chesa-boudins-office-accused-of-rigging-case-against-cop-n446483,Chesa Boudin office accused of rigging case against cop – HotAir,20220205T164500Z,hotair.com,English,United States,True,unclassified
http://www.msn.com/en-us/news/politics/is-it-time-to-recall-the-recall/ar-AATtweu,Is it time to recall the recall ? ,20220204T160000Z,msn.com,English,United States,True,unclassified
https://www.heritage.org/crime-and-justice/commentary/its-not-just-rising-crime-rogue-prosecutors-are-huge-problem,It Not Just Rising Crime : Rogue Prosecutors Are a Huge Problem,20220207T171500Z,heritage.org,English,United States,False,unclassified
https://freerepublic.com/tag/*/index?more=4035737,Latest Articles,20220205T200000Z,freerepublic.com,English,United States,False,national
https://freerepublic.com/tag/*/index?more=4035746,Latest Articles,20220205T203000Z,freerepublic.com,English,United States,False,national
https://sfist.com/2022/02/07/sfs-first-excessive-force-trial-against-a-police-officer-kicks-off-under-cloud-of-controversy/,SF First Excessive - Force Trial Against a Police Officer Kicks Off Under Cloud of Controversy,20220208T004500Z,sfist.com,English,United States,False,local
http://www.ruthfullyyours.com/2022/02/04/chesa-boudin-is-starting-to-sweat-by-monica-showalter/,Chesa Boudin is starting to sweat By Monica Showalter,20220204T123000Z,ruthfullyyours.com,English,United States,True,unclassified
https://www.nbcnews.com/news/us-news/progressive-prosecutors-conservative-pushback-rcna14467,Prosecutors who want to curb mass incarceration hit a roadblock : Tough - on - crime lawmakers,20220203T124500Z,nbcnews.com,English,United States,False,national
https://www.americanthinker.com/blog/2022/02/chesa_boudin_is_starting_to_sweat.html,Chesa Boudin is starting to sweat,20220204T094500Z,americanthinker.com,English,United States,True,unclassified
https://www.sfchronicle.com/projects/2022/sf-fentanyl-opioid-epidemic/,Fentanyl is a public health crisis in San Francisco . These stories show why it so difficult for victims to escape its grip,20220203T163000Z,sfchronicle.com,English,United States,False,local
http://www.ruthfullyyours.com/2022/02/04/,04 | February | 2022 | RUTHFULLY YOURS,20220204T123000Z,ruthfullyyours.com,English,United States,False,unclassified
https://48hills.org/2022/02/police-chief-undermines-his-own-departments-reforms/,Police chief undermines his own department reform agenda,20220207T050000Z,48hills.org,English,United States,False,unclassified
https://sfist.com/2022/02/03/da-chesa-boudin-responds-to-sfpd/,"DA Chesa Boudin Says SFPD Withdrawl From Investigation Agreement Is Political , Made Under Pressure From Police Union",20220204T021500Z,sfist.com,English,United States,True,local
https://sfist.com/2022/02/10/sf-recalls-largely-funded-neighbors-for-a-better-san-francisco-pac-which-is-based-in-san-rafael/,"SF Recalls Largely Funded by  Neighbors for a Better San Francisco  PAC , Which Is Based in San Rafael",20220211T001500Z,sfist.com,English,United States,True,local
https://www.sfchronicle.com/opinion/openforum/article/The-Chesa-Boudin-recall-stopped-being-only-about-16903728.php,The Chesa Boudin recall stopped being only about San Francisco a long time ago,20220212T130000Z,sfchronicle.com,English,United States,True,local
https://www.ebar.com/index.php?id=312848,Bay Area Reporter :: SF supervisors delay vote on Shorter reappointment,20220209T050000Z,ebar.com,English,United States,False,unclassified
https://www.ebar.com/news/latest_news/312848,Bay Area Reporter :: SF supervisors delay vote on Shorter reappointment,20220210T184500Z,ebar.com,English,United States,False,unclassified
https://www.politico.com/news/2022/02/14/san-francisco-school-board-ouster-00008422,Parental fury propels San Francisco school board ouster,20220215T004500Z,politico.com,English,United States,False,national
https://www.sfchronicle.com/sf/article/Chesa-Boudin-recall-S-F-supervisors-to-vote-on-16841595.php,Chesa Boudin recall : S . F . supervisors to vote on Breed appointee working to oust District Attorney,20220208T191500Z,sfchronicle.com,English,United States,True,local
https://www.ebar.com/news/latest_news/312988,Bay Area Reporter :: Shorter withdraws from SF juvenile probation commission,20220214T203000Z,ebar.com,English,United States,False,unclassified
https://www.nbcsandiego.com/news/national-international/feud-continues-between-sfpd-chief-district-attorney-over-police-investigations/2865732/,"Feud Continues Between SFPD Chief , District Attorney Over Police Investigations",20220210T210000Z,nbcsandiego.com,English,United States,False,unclassified
https://www.nbcbayarea.com/news/local/san-francisco/feud-continues-between-sfpd-chief-district-attorney-over-police-investigations/2806982/,"Feud Continues Between SFPD Chief , District Attorney Over Police Investigations",20220210T101500Z,nbcbayarea.com,English,United States,False,local
https://www.politico.com/newsletters/california-playbook/2022/02/14/stay-tuned-to-la-this-year-00008552,Stay tuned to LA this year,20220214T170000Z,politico.com,English,United States,False,national
https://www.ktvu.com/news/sf-police-excessive-force-case-that-caused-fight-between-da-chief-begins,"SF police excessive force case that caused fight between DA , chief begins",20220208T041500Z,ktvu.com,English,United States,False,local
https://sfist.com/2022/02/09/supervisors-ok-700k-settlement-for-police-beating-victim-in-case-where-sfpd-is-basically-at-war-with-boudin/,"Supervisors OK $700K Settlement for Police Beating Victim , In Case Where SFPD Is Basically at War With Boudin",20220209T200000Z,sfist.com,English,United States,True,local
https://www.theepochtimes.com/rasmussen-poll-voters-support-laws-to-remove-soft-on-crime-prosecutors_4267734.html,Rasmussen Poll : Voters Support Laws to Remove Soft - on - Crime Prosecutors,20220211T201500Z,theepochtimes.com,English,United States,False,unclassified
https://www.sfchronicle.com/sf/article/District-Attorney-Boudin-recall-Breed-s-16911847.php,District Attorney Boudin recall : Breed controversial commission appointee withdraws,20220212T034500Z,sfchronicle.com,English,United States,True,local
https://www.sott.net/article/464398-Progressive-prosecutors-How-pupils-of-US-leftwing-activists-come-to-power-as-attorneys,Progressive prosecutors : How pupils of US leftwing activists come to power as attorneys -- Society Child -- Sott . net,20220213T181500Z,sott.net,English,United States,False,unclassified
https://www.sfchronicle.com/sf/article/S-F-school-board-recall-race-goes-down-to-the-16913981.php,"S . F . school board recall race goes down to the wire as supporters , opponents rally for turnout",20220213T174500Z,sfchronicle.com,English,United States,True,local
https://www.nbcbayarea.com/investigations/san-francisco-mayor-breed-explains-why-you-havent-seen-her-with-da-boudin/2806846/,San Francisco Mayor Breed Explains Why You Havent Seen Her With DA Boudin,20220211T023000Z,nbcbayarea.com,English,United States,True,local
https://www.liberationnews.org/mayors-war-on-the-poor-punctuates-san-franciscos-right-wing-shift/,Mayor war on the poor punctuates San Francisco right - wing shift – Liberation News,20220209T071500Z,liberationnews.org,English,United States,False,unclassified
https://santamariatimes.com/opinion/columnists/prop-47-ripe-for-a-rewrite-thomas-elias/article_078aeb69-5d32-599a-90b4-bb1ee6c03dc2.html,Prop . 47 ripe for a rewrite | Thomas Elias,20220208T190000Z,santamariatimes.com,English,United States,False,unclassified
https://lompocrecord.com/opinion/columnists/prop-47-ripe-for-a-rewrite-thomas-elias/article_58088a7a-8811-5c50-9196-7fba843855b4.html,Prop . 47 ripe for a rewrite | Thomas Elias,20220208T150000Z,lompocrecord.com,English,United States,False,unclassified
