date,chesa_boudin_matches,chesa_boudin_pct_of_us,chesa_boudin_pct_of_global,boudin_recall_matches,boudin_recall_pct_of_us,boudin_recall_pct_of_global,us_total_monitored,global_norm
20210101T000000Z,2,0.003812,0.000865,0,0.0,0.0,52460,231089
20210102T000000Z,6,0.014182,0.002748,0,0.0,0.0,42307,218342
20210103T000000Z,10,0.025034,0.004579,0,0.0,0.0,39945,218408
20210104T000000Z,9,0.011102,0.002505,0,0.0,0.0,81066,359283
20210105T000000Z,25,0.025258,0.006318,2,0.002021,0.000505,98980,395722
20210106T000000Z,134,0.131135,0.034309,3,0.002936,0.000768,102185,390565
20210107T000000Z,104,0.095465,0.025506,3,0.002754,0.000736,108940,407743
20210108T000000Z,18,0.017593,0.004595,0,0.0,0.0,102313,391721
20210109T000000Z,1,0.001648,0.000384,1,0.001648,0.000384,60668,260446
20210110T000000Z,2,0.004573,0.000861,0,0.0,0.0,43735,232354
20210111T000000Z,1,0.001165,0.000258,0,0.0,0.0,85850,386901
20210112T000000Z,0,0.0,0.0,0,0.0,0.0,105678,423924
20210113T000000Z,0,0.0,0.0,0,0.0,0.0,110321,437044
20210114T000000Z,3,0.002755,0.000696,0,0.0,0.0,108879,431183
20210115T000000Z,0,0.0,0.0,0,0.0,0.0,105349,414351
20210116T000000Z,1,0.001649,0.000381,0,0.0,0.0,60637,262202
20210117T000000Z,2,0.004294,0.000841,0,0.0,0.0,46576,237681
20210118T000000Z,1,0.001384,0.000266,0,0.0,0.0,72270,376283
20210119T000000Z,1,0.000996,0.00024,0,0.0,0.0,100448,416507
20210120T000000Z,1,0.000911,0.000232,0,0.0,0.0,109717,430952
20210121T000000Z,2,0.00186,0.000469,1,0.00093,0.000235,107521,426349
20210122T000000Z,3,0.002864,0.000728,0,0.0,0.0,104761,412078
20210123T000000Z,11,0.018125,0.004227,1,0.001648,0.000384,60689,260208
20210124T000000Z,0,0.0,0.0,0,0.0,0.0,44090,233228
20210125T000000Z,3,0.003434,0.000765,0,0.0,0.0,87355,392007
20210126T000000Z,2,0.001839,0.00047,0,0.0,0.0,108746,425535
20210127T000000Z,1,0.000898,0.000227,0,0.0,0.0,111302,439973
20210128T000000Z,1,0.000911,0.000228,0,0.0,0.0,109741,439009
20210129T000000Z,2,0.001909,0.000479,1,0.000955,0.000239,104764,417688
20210130T000000Z,1,0.00169,0.000376,0,0.0,0.0,59163,265908
20210131T000000Z,3,0.006566,0.001207,0,0.0,0.0,45691,248519
20210201T000000Z,1,0.001094,0.000249,0,0.0,0.0,91366,401219
20210202T000000Z,13,0.011894,0.003013,0,0.0,0.0,109297,431507
20210203T000000Z,73,0.066549,0.016844,0,0.0,0.0,109694,433379
20210204T000000Z,8,0.007311,0.001926,4,0.003655,0.000963,109429,415419
20210205T000000Z,8,0.007522,0.001939,0,0.0,0.0,106351,412610
